dataset,L,method,mean,std,n_seeds
junyi,5,Target-repeat,0.203472,0.003136,3
junyi,5,GRU4Rec,0.237364,0.008382,3
junyi,5,SASRec,0.256203,0.007374,3
junyi,5,PPO-vanilla,0.246693,0.010648,3
junyi,5,CSEAL,0.053819,0.049273,3
junyi,5,GEHRL,0.105816,0.003935,3
junyi,5,DLELP,0.109667,0.012846,3
junyi,5,KnowLP,0.088633,0.019212,3
junyi,5,EvoLearning-BC,0.285714,0.003519,3
junyi,5,EvoLearning-AWR,0.285755,0.000436,3
junyi,5,EvoLearning-DAPG,0.284800,0.005806,3
junyi,10,Target-repeat,0.243815,0.002289,3
junyi,10,GRU4Rec,0.266202,0.009295,3
junyi,10,SASRec,0.319753,0.006140,3
junyi,10,PPO-vanilla,0.363965,0.003370,3
junyi,10,CSEAL,0.177695,0.008825,3
junyi,10,GEHRL,0.137569,0.008871,3
junyi,10,DLELP,0.247233,0.002585,3
junyi,10,KnowLP,0.229700,0.010220,3
junyi,10,EvoLearning-BC,0.390329,0.001684,3
junyi,10,EvoLearning-AWR,0.387944,0.001497,3
junyi,10,EvoLearning-DAPG,0.390168,0.001361,3
junyi,20,Target-repeat,0.285804,0.001866,3
junyi,20,GRU4Rec,-0.004992,0.017184,3
junyi,20,SASRec,0.298809,0.006459,3
junyi,20,PPO-vanilla,0.380444,0.005068,3
junyi,20,CSEAL,0.206612,0.006104,3
junyi,20,GEHRL,0.044972,0.029232,3
junyi,20,DLELP,0.336667,0.009758,3
junyi,20,KnowLP,0.336667,0.009758,3
junyi,20,EvoLearning-BC,0.425547,0.002451,3
junyi,20,EvoLearning-AWR,0.420078,0.002673,3
junyi,20,EvoLearning-DAPG,0.427830,0.002150,3
assist15,5,Target-repeat,0.295560,0.011690,3
assist15,5,GRU4Rec,0.329481,0.007855,3
assist15,5,SASRec,0.354875,0.008341,3
assist15,5,PPO-vanilla,0.420081,0.011028,3
assist15,5,CSEAL,0.062026,0.022220,3
assist15,5,GEHRL,0.211361,0.007107,3
assist15,5,DLELP,0.250667,0.015355,3
assist15,5,KnowLP,0.189200,0.033890,3
assist15,5,EvoLearning-BC,0.470045,0.003967,3
assist15,5,EvoLearning-AWR,0.471345,0.005693,3
assist15,5,EvoLearning-DAPG,0.471761,0.004714,3
assist15,10,Target-repeat,0.320907,0.009845,3
assist15,10,GRU4Rec,0.325117,0.010353,3
assist15,10,SASRec,0.466028,0.011098,3
assist15,10,PPO-vanilla,0.543003,0.009419,3
assist15,10,CSEAL,0.214584,0.013691,3
assist15,10,GEHRL,0.228492,0.003798,3
assist15,10,DLELP,0.454133,0.001580,3
assist15,10,KnowLP,0.387967,0.010632,3
assist15,10,EvoLearning-BC,0.614078,0.002522,3
assist15,10,EvoLearning-AWR,0.603753,0.001943,3
assist15,10,EvoLearning-DAPG,0.612902,0.003065,3
assist15,20,Target-repeat,0.330584,0.007947,3
assist15,20,GRU4Rec,0.332307,0.007572,3
assist15,20,SASRec,0.472774,0.005757,3
assist15,20,PPO-vanilla,0.510817,0.009774,3
assist15,20,CSEAL,0.291540,0.005678,3
assist15,20,GEHRL,0.142057,0.018821,3
assist15,20,DLELP,0.229733,0.014757,3
assist15,20,KnowLP,0.292667,0.062428,3
assist15,20,EvoLearning-BC,0.620661,0.000375,3
assist15,20,EvoLearning-AWR,0.618996,0.003210,3
assist15,20,EvoLearning-DAPG,0.623781,0.001237,3
ednet,5,Target-repeat,0.103858,0.001098,3
ednet,5,GRU4Rec,0.187936,0.001296,3
ednet,5,SASRec,0.199711,0.000318,3
ednet,5,PPO-vanilla,0.263221,0.003120,3
ednet,5,CSEAL,0.135981,0.006889,3
ednet,5,GEHRL,0.052497,0.002228,3
ednet,5,DLELP,0.196900,0.005991,3
ednet,5,KnowLP,0.164733,0.002625,3
ednet,5,EvoLearning-BC,0.276646,0.002445,3
ednet,5,EvoLearning-AWR,0.276149,0.002376,3
ednet,5,EvoLearning-DAPG,0.277871,0.002736,3
ednet,10,Target-repeat,0.138421,0.001489,3
ednet,10,GRU4Rec,0.239599,0.005074,3
ednet,10,SASRec,0.259981,0.003925,3
ednet,10,PPO-vanilla,0.367470,0.003988,3
ednet,10,CSEAL,0.186538,0.006730,3
ednet,10,GEHRL,0.044963,0.009249,3
ednet,10,DLELP,0.263700,0.009257,3
ednet,10,KnowLP,0.226533,0.002310,3
ednet,10,EvoLearning-BC,0.383256,0.003886,3
ednet,10,EvoLearning-AWR,0.379441,0.003377,3
ednet,10,EvoLearning-DAPG,0.384071,0.003587,3
ednet,20,Target-repeat,0.171948,0.002666,3
ednet,20,GRU4Rec,0.266393,0.006412,3
ednet,20,SASRec,0.274828,0.008676,3
ednet,20,PPO-vanilla,0.457187,0.004603,3
ednet,20,CSEAL,0.229350,0.007622,3
ednet,20,GEHRL,-0.089173,0.006950,3
ednet,20,DLELP,0.352200,0.010188,3
ednet,20,KnowLP,0.321000,0.003767,3
ednet,20,EvoLearning-BC,0.475130,0.003723,3
ednet,20,EvoLearning-AWR,0.465794,0.005686,3
ednet,20,EvoLearning-DAPG,0.474148,0.004588,3
